step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
358,333432,1432,0.01262732477707962,1.0,1.0,,,,,,,,,
359,334396,1436,0.016293923101197226,0.75,0.75,,,,,,,,,
360,335456,1440,0.019517863445693583,1.0,1.0,,,,,,,,,
361,336612,1444,0.014757944911515324,0.75,0.75,0.014408324211953736,0.75,0.75,,,,,,
362,337704,1448,0.016432704593574217,0.75,0.75,,,,,,,,,
363,338924,1452,0.01453072629768826,0.75,0.75,,,,,,,,,
364,339312,1456,0.022515536902619718,1.0,1.0,,,,,,,,,
365,340404,1460,0.013471243708771447,1.0,1.0,,,,,,,,,
366,340728,1464,0.034900356619463314,0.5,0.5,,,,,,,,,
367,341596,1468,0.01558154092609887,1.0,1.0,,,,,,,,,
368,341856,1472,0.039557416680772804,0.75,0.75,,,,,,,,,
369,343076,1476,0.013594020859561504,0.5,0.5,0.01917011582395344,0.25,0.25,,,,,,
370,343912,1480,0.019200878649350602,0.5,0.5,,,,,,,,,
371,345196,1484,0.012910153875827859,1.0,1.0,,,,,,,,,
372,346416,1488,0.009055789815988244,0.75,0.75,,,,,,,,,
373,347636,1492,0.013223474776066895,1.0,1.0,,,,,,,,,
374,348024,1496,0.03217590009943554,0.75,0.75,,,,,,,,,
375,348540,1500,0.025629238110464598,0.25,0.25,,,,,,,,,
376,349760,1504,0.021568329761611403,0.75,0.75,,,,,,,,,
377,351012,1508,0.01232683045688039,1.0,1.0,0.011567753204289011,1.0,1.0,,,,,,
378,352264,1512,0.011006497157248317,0.75,0.75,,,,,,,,,
379,353484,1516,0.0094088576543339,1.0,1.0,,,,,,,,,
380,354736,1520,0.01181811139533168,1.0,1.0,,,,,,,,,
381,355764,1524,0.009065065920078491,0.75,0.75,,,,,,,,,
382,356632,1528,0.01259796267850561,1.0,1.0,,,,,,,,,
383,357852,1532,0.014547617196940277,1.0,1.0,,,,,,,,,
384,359104,1536,0.010170044833532467,1.0,1.0,,,,,,,,,
385,359524,1540,0.030680978589751665,0.5,0.5,0.014936285392703585,0.75,0.75,,,,,,
